# surface	status	evidence	notes
cli.version	verified	//packages/parity:cli_version_parity	Shared fixture comparison proves the Rust-backed --version slice
cli.help	verified	//packages/parity:cli_help_parity	Shared fixture comparison proves the Rust-backed help slice
cli.other	legacy-only	packages/legacy-slic3r/slic3r.pl	Merge/cut/layout, multi-input transforms, and broader packaged CLI behavior remain legacy-owned
export.workflows	verified	//packages/parity:export_workflows_parity	Shared fixture comparison proves the scoped export workflows and supported output naming
transform.workflows	verified	//packages/parity:transform_workflows_parity	Shared fixture comparison proves the scoped info, repair, and split workflows and their bounded filenames
config	legacy-only	packages/legacy-slic3r/lib/Slic3r/Config.pm	Contract inventory remains the current source of truth
config.persistence	verified	//packages/parity:cli_config_persistence_parity	Shared fixture comparison proves the scoped Rust-backed save/load/datadir slice
file-formats	in progress	docs/port/cli-slice.md	Scoped export format families are fixture-verified; broader input and format parity remain legacy-owned
generated-outputs	in progress	docs/port/cli-slice.md	Scoped export plus repair/split artifact naming are fixture-verified; geometry and output-content parity are deferred
launcher-packaging	rust-backed	//packages/launcher:macos_packaged_launcher_bundle	Scoped macOS packaged launcher bundle exists for the verified slice, but packaging-visible parity proof is still deferred
